Small_Area_Code,Area_Number,Area_Code,Area_Name
95AA01S1,18,N12000002,Belfast
95AA01S2,18,N12000002,Belfast
95AA01S3,18,N12000002,
95AA02W1,18,N12000002,Belfast
95AA03W1,18,N12000002,
95AA04W1,18,N12000002,Belfast
95AA05W1,9,N12000001,Ballymena
95AA06S1,18,N12000002,Belfast
95AA06S2,18,N12000002,Belfast
95AA07W1,9,N12000001,Ballymena
95AA08W1,18,N12000002,Belfast
95AA09W1,18,N12000002,Belfast
95AA10W1,18,,Belfast
95AA11S1,18,N12000002,Belfast
95AA11S2,18,N12000002,Belfast
95AA12W1,18,N12000002,Belfast
95AA13S1,9,N12000001,Ballymena
95AA13S2,9,N12000001,Ballymena
95AA14W1,9,N12000001,Ballymena
95AA15S1,18,N12000002,Belfast
95AA15S2,9,N12000001,Ballymena
95AA16W1,18,N12000002,Belfast
95AA17W1,18,N12000002,Belfast
95AA18W1,18,N12000002,Belfast
95AA19W1,60,N12000004,Cookstown and Magherafelt
95BB01S1,18,N12000002,Belfast
95BB01S2,18,N12000002,Belfast
95BB02W1,18,N12000002,Belfast
95BB03S1,18,N12000002,Belfast
95BB03S2,18,N12000002,Belfast
95BB04S1,18,N12000002,Belfast
95BB04S2,18,N12000002,Belfast
95BB05S1,18,N12000002,Belfast
95BB05S2,18,N12000002,Belfast
95BB06W1,18,N12000002,Belfast
95BB07S1,18,N12000002,Belfast
95BB07S2,18,N12000002,Belfast
95BB08S1,18,N12000002,Belfast
95BB08S2,18,N12000002,Belfast
95BB09S1,18,N12000002,Belfast
95BB09S2,18,N12000002,Belfast
95BB10S1,18,N12000002,Belfast
95BB10S2,18,N12000002,Belfast
95BB11S1,18,N12000002,Belfast
95BB11S2,18,N12000002,Belfast
95BB12S1,18,N12000002,Belfast
95BB12S2,18,N12000002,Belfast
95BB13S1,18,N12000002,Belfast
95BB13S2,18,N12000002,Belfast
95BB13S3,18,N12000002,Belfast
95BB14S1,18,N12000002,Belfast
95BB14S2,18,N12000002,Belfast
95BB15S1,18,N12000002,Belfast
95BB15S2,18,N12000002,Belfast
95BB16S1,18,N12000002,Belfast
95BB16S2,18,N12000002,Belfast
95BB17S1,18,N12000002,Belfast
95BB17S2,18,N12000002,Belfast
95BB18S1,18,N12000002,Belfast
95BB18S2,18,N12000002,Belfast
95BB19S1,18,N12000002,Belfast
95BB19S2,18,N12000002,Belfast
95BB19S3,18,N12000002,Belfast
95BB20S1,18,N12000002,Belfast
95BB20S2,18,N12000002,Belfast
95BB21S1,18,N12000002,Belfast
95BB21S2,18,N12000002,Belfast
95BB22S1,18,N12000002,Belfast
95BB22S2,18,N12000002,Belfast
95BB23S1,18,N12000002,Belfast
95BB23S2,18,N12000002,Belfast
95CC01W1,63,N12000005,Craigavon
95CC02W1,63,N12000005,Craigavon
95CC03W1,63,N12000005,Craigavon
95CC04W1,63,N12000005,Craigavon
95CC05W1,78,N12000007,Dungannon
95CC06S1,63,N12000005,Craigavon
95CC06S2,63,N12000005,Craigavon
95CC07W1,63,N12000005,
95CC08W1,63,N12000005,Craigavon
95CC09S1,63,N12000005,Craigavon
95CC09S2,63,N12000005,
95CC10W1,63,N12000005,Craigavon
95CC11W1,63,N12000005,Craigavon
95CC12W1,63,N12000005,Craigavon
95CC13W1,63,N12000005,Craigavon
95CC14W1,63,N12000005,Craigavon
95CC15W1,63,N12000005,Craigavon
95CC16W1,63,N12000005,Craigavon
95CC17W1,63,N12000005,Craigavon
95CC18W1,63,N12000005,Craigavon
95CC19W1,63,N12000005,Craigavon
95CC20S1,63,N12000005,Craigavon
95CC20S2,63,N12000005,Craigavon
95CC21W1,63,N12000005,Craigavon
95CC22W1,63,N12000005,Craigavon
95DD01W1,9,N12000001,Ballymena
95DD02S1,9,N12000001,Ballymena
95DD02S2,9,N12000001,Ballymena
95DD03W1,9,N12000001,Ballymena
95DD04W1,9,N12000001,Ballymena
95DD05W1,9,N12000001,Ballymena
95DD06W1,9,N12000001,Ballymena
95DD07S1,9,N12000001,Ballymena
95DD07S2,9,N12000001,Ballymena
95DD08W1,9,N12000001,Ballymena
95DD09W1,9,N12000001,Ballymena
95DD10W1,9,N12000001,Ballymena
95DD11W1,9,N12000001,Ballymena
95DD12W1,9,N12000001,Ballymena
95DD13W1,9,N12000001,Ballymena
95DD14S1,9,N12000001,Ballymena
95DD14S2,9,N12000001,Ballymena
95DD15W1,9,N12000001,Ballymena
95DD16W1,9,N12000001,Ballymena
95DD17W1,9,N12000001,Ballymena
95DD18W1,9,N12000001,Ballymena
95DD19S1,9,N12000001,Ballymena
95DD19S2,9,N12000001,Ballymena
95DD20W1,9,N12000001,Ballymena
95DD21W1,9,N12000001,Ballymena
95DD22S1,9,N12000001,Ballymena
95DD22S2,9,N12000001,Ballymena
95DD23W1,9,N12000001,Ballymena
95DD24W1,9,N12000001,Ballymena
95EE01W1,9,N12000001,Ballymena
95EE02W1,58,N12000003,Coleraine
95EE03W1,58,N12000003,Coleraine
95EE04W1,9,N12000001,Ballymena
95EE05W1,58,N12000003,Coleraine
95EE06W1,58,N12000003,Coleraine
95EE07W1,58,N12000003,Coleraine
95EE08W1,58,N12000003,Coleraine
95EE09W1,58,N12000003,Coleraine
95EE10W1,58,N12000003,Coleraine
95EE11W1,58,N12000003,Coleraine
95EE12W1,58,N12000003,Coleraine
95EE13W1,58,N12000003,Coleraine
95EE14W1,58,N12000003,Coleraine
95EE15W1,58,N12000003,Coleraine
95EE16W1,58,N12000003,Coleraine
95FF01S1,152,N12000009,Newry and Banbridge
95FF01S2,152,N12000009,Newry and Banbridge
95FF02W1,152,N12000009,Newry and Banbridge
95FF03W1,152,N12000009,Newry and Banbridge
95FF04W1,152,N12000009,Newry and Banbridge
95FF05W1,18,N12000002,Belfast
95FF06S1,18,N12000002,Belfast
95FF06S2,18,N12000002,Belfast
95FF07W1,152,N12000009,Newry and Banbridge
95FF08W1,152,N12000009,Newry and Banbridge
95FF09W1,63,N12000005,Craigavon
95FF10W1,18,N12000002,Belfast
95FF11W1,152,N12000009,Newry and Banbridge
95FF12W1,152,N12000009,Newry and Banbridge
95FF13W1,152,N12000009,Newry and Banbridge
95FF14W1,152,N12000009,Newry and Banbridge
95FF15W1,152,N12000009,Newry and Banbridge
95FF16W1,152,N12000009,Newry and Banbridge
95FF17W1,152,N12000009,Newry and Banbridge
95GG01S1,18,N12000002,Belfast
95GG01S2,18,N12000002,Belfast
95GG01S3,18,N12000002,Belfast
95GG02S1,18,N12000002,Belfast
95GG02S2,18,N12000002,Belfast
95GG02S3,18,N12000002,Belfast
95GG03S1,18,N12000002,Belfast
95GG03S2,18,N12000002,Belfast
95GG03S3,18,N12000002,Belfast
95GG04S1,18,N12000002,Belfast
95GG04S2,18,N12000002,Belfast
95GG04S3,18,N12000002,Belfast
95GG05S1,18,N12000002,Belfast
95GG05S2,18,N12000002,Belfast
95GG05S3,18,N12000002,Belfast
95GG06S1,18,N12000002,Belfast
95GG06S2,18,N12000002,Belfast
95GG06S3,18,N12000002,Belfast
95GG07S1,18,N12000002,Belfast
95GG07S2,18,N12000002,Belfast
95GG07S3,18,N12000002,Belfast
95GG08S1,18,N12000002,Belfast
95GG08S2,18,N12000002,Belfast
95GG08S3,18,N12000002,Belfast
95GG09S1,18,N12000002,Belfast
95GG09S2,18,N12000002,Belfast
95GG09S3,18,N12000002,Belfast
95GG10S1,18,N12000002,Belfast
95GG10S2,18,N12000002,Belfast
95GG11S1,18,N12000002,Belfast
95GG11S2,18,N12000002,Belfast
95GG11S3,18,N12000002,Belfast
95GG12S1,18,N12000002,Belfast
95GG12S2,18,N12000002,Belfast
95GG12S3,18,N12000002,Belfast
95GG12S4,18,N12000002,Belfast
